project_id,project_name,state_abbr,category_id,contractor_id,status,budget_million_usd,actual_cost_million_usd,cost_overrun_pct,planned_start_date,actual_start_date,planned_end_date,actual_end_date,federal_funding_pct,congressional_district,project_manager,created_at,last_updated
40,Highway 829 Widening,PA,1,3,Active,3801.37,5188.87,36.5,20/09/2021,2019/05/17,2022-06-24,,76.5,4,Robert Thomas,2019/06/07,19/03/2024
41,New Orleans Emergency Communications,SD,6,16,Delayed,2110.3,2414.18,14.4,01/07/2020,17/04/2018,07/30/2025,,55.8,2,David Johnson,,2024/08/24
42,Highway 556 Widening,NE,3,19,Active,2060.09,2049.79,-0.5,2020-08-10,15/06/2020,03-23-2022,,51.6,1,Jennifer Thomas,02-17-2018,2022/09/25
43,I-682 Safety Improvements,DE,15,30,Completed,736.89,812.79,10.3,2021-04-21,06-06-2019,12-29-2023,2022-01-04,76.9,37,Michael Thomas,08/03/2017,08/01/2023
44,I-385 Safety Improvements,IA,15,13,on hold,2014.12,2783.51,38.2,12/07/2020,10/29/2019,23/01/2027,,24.4,3,David Johnson,2018/10/15,06-19-2023
45,Route 586 Bridge Replacement,WI,4,4,,2062.24,2014.81,-2.3,2018/01/16,10-18-2022,12-25-2022,2023-08-27,69.4,41,Karen Taylor,,2022-07-18
46,Sacramento Emergency Communications,IL,11,12,Completed,955.94,936.82,-2.0,05/05/2022,11/11/2023,11/09/2026,,61.2,31,Karen Davis,09-03-2019,2023-09-05
47,Illinois Electric Grid Hardening,IL,7,18,Cancelled,2182.93,,,20/02/2018,03/08/2024,,,66.9,n/a,Michael Brown,2017-10-31,03-06-2025
48,Regional Rail Corridor 288,AL,1,11,N/A,3604.66,,,2019/02/07,2020/07/22,2023-07-05,,38.0,,Lisa Wilson,,
49,Nashville Wastewater Treatment Plant,AL,12,7,On Hold,1667.46,2354.45,41.2,05/06/2018,09-17-2020,2026/03/06,,49.3,,Robert Taylor,04/16/2020,2025-02-03
50,Regional Rail Corridor 434,MA,5,20,,3576.74,4216.98,17.9,06-12-2020,03-27-2023,05-22-2025,,60.6,,Karen Moore,2020/04/12,07-29-2022
51,Rhode Island Interstate 303 Reconstruction,RI,3,24,Active,1758.27,2011.46,14.4,2018/05/25,07/16/2024,06-01-2028,,69.0,22,Patricia Davis,11-06-2020,12-30-2024
52,Denver Stormwater System,UT,14,4,Completed,2437.52,3071.28,26.0,04-19-2023,03/07/2020,2027-08-12,,72.0,25,Thomas Miller,2019-04-27,21/04/2022
53,New Orleans School District Renovation,NH,7,13,Planning,2242.12,,,2022/03/09,,02/27/2022,,73.5,49,Thomas Davis,06/02/2017,
54,Highway 604 Widening,MA,12,5,ACTIVE,517.72,676.14,30.6,2018/06/03,2022/03/17,13/11/2024,,66.3,40,James Thomas,04/09/2017,08-10-2022
55,Memphis School District Renovation,MS,4,12,Planning,2084.94,,,2020-04-30,,05-23-2027,,39.8,1,James Williams,2017-08-15,03/21/2025
56,US-900 Resurfacing Project,MN,6,29,Completed,1565.33,1754.73,12.1,04/12/2019,06-30-2022,06/28/2026,23/07/2024,36.3,,Patricia Taylor,06-27-2021,
57,Port of Charlotte Modernization,RI,9,,On Hold,2942.59,2936.7,-0.2,10-15-2020,2023-05-28,2025/11/17,,59.8,42,Michael Brown,15/09/2021,2025-02-17
58,Iowa Interstate 414 Reconstruction,IA,12,21,Active,2340.17,2223.16,-5.0,2019-01-08,06-01-2021,09-14-2027,,,42,William Taylor,30/11/2018,2024/01/15
59,Washington Electric Grid Hardening,WA,4,4,planning,800.84,896.14,11.9,2022-08-25,2018/07/10,08-08-2028,10/09/2022,66.3,29,Lisa Thomas,10-30-2019,03/10/2022
60,Bridge 864 Structural Repairs,NC,3,14,Completed,3615.04,4721.24,30.6,17/03/2024,2020/06/09,02/04/2024,2023/03/06,57.5,,William Wilson,,09/29/2022
61,Maryland Broadband Expansion Phase 708,MD,11,9,Completed,857.2,1046.64,22.1,2022-01-09,,2023/02/24,15/06/2025,72.1,48,Thomas Davis,2021/03/01,02/23/2025
62,Regional Rail Corridor 182,WY,12,7,Under Review,313.23,448.23,43.1,06/10/2023,2019/05/04,03-26-2026,,22.4,18,Thomas Miller,24/09/2017,11/26/2022
63,Nashville Airport Terminal Expansion,AZ,11,11,Active,3161.28,3840.96,21.5,2024/04/18,2018-02-06,04/15/2023,,60.1,29,Sarah Thomas,2020-06-26,05/15/2023
64,Downtown Miami Transit Hub,RI,7,27,Completed,3690.34,4874.94,32.1,2022-11-18,2018/10/23,,2022-02-18,47.6,22,James Williams,05-31-2017,04-22-2022
65,Vermont Electric Grid Hardening,VT,15,15,Completed,1991.01,2423.06,21.7,2019/07/13,05/21/2022,02-14-2028,08/28/2023,77.6,,David Wilson,2017/01/23,2025/02/07
66,Portland Water Main Upgrade,PA,5,22,Active,2438.71,3477.6,,01/02/2022,10/06/2019,08-18-2024,,26.0,40,Maria Davis,2018/10/13,2024/09/22
67,Illinois Broadband Expansion Phase 202,IL,14,9,Cancelled,3722.67,3678.0,-1.2,05/11/2018,2018-03-18,2027/09/09,,57.9,53,Karen Thomas,04/10/2019,04/23/2025
68,Nebraska Broadband Expansion Phase 962,NE,10,n/a,Active,919.43,1097.8,19.4,15/09/2018,12-18-2020,2026-02-22,,34.0,43,Sarah Anderson,09/06/2021,2024/01/10
69,California Broadband Expansion Phase 170,CA,9,29,Active,2161.32,,,09/08/2019,2020/02/05,,,41.7,46,Maria Davis,2019/04/30,11-08-2023
70,New Orleans Stormwater System,IL,4,?,Active,1725.52,1761.76,2.1,2020-01-15,2023/09/24,2024-12-19,,30.1,-,Jennifer Taylor,05-06-2020,2025/04/24
71,Baltimore Stormwater System,OK,4,26,Completed,3113.98,,33.1,02-05-2019,09/10/2022,07-03-2023,2023/06/06,48.6,15,Maria Miller,10/05/2020,2025/01/18
72,Salt Lake City Emergency Communications,NV,3,12,Active,1288.29,1445.46,12.2,2022/06/19,2019-07-20,05-03-2023,,,29,Patricia Brown,2017/07/25,2023/03/16
73,New Orleans Flood Control Project,NY,13,27,Planning,3572.46,,,2023-10-24,,,,31.7,51,Karen Anderson,11-23-2019,04/20/2023
74,Utah Interstate 180 Reconstruction,UT,15,13,Active,447.6,441.33,,2021-04-20,10/24/2021,04/25/2023,,68.2,17,Thomas Thomas,05-28-2018,06-25-2024
75,New Orleans Flood Control Project,PA,9,30,Active,3756.18,4075.46,,2020-02-18,08-06-2023,28/03/2024,,34.1,16,David Davis,2018/04/15,02/20/2023
76,Route 819 Bridge Replacement,VT,10,5,completed ,3946.58,3812.4,-3.4,11/23/2021,06/01/2022,12-17-2023,,47.4,8,Patricia Anderson,2019-08-01,10/09/2023
77,New Mexico Electric Grid Hardening,NM,7,28,Completed,3102.01,,18.6,09/02/2018,12-25-2019,2026/09/23,10-20-2024,28.1,41,Thomas Anderson,2021/01/15,2023/10/09
78,I-690 Safety Improvements,VA,13,10,On Hold,3254.04,3816.99,17.3,18/11/2018,04-10-2022,2028/11/18,,37.2,,Robert Brown,08-04-2020,2023-11-22
79,Downtown Boston Transit Hub,AZ,3,13,Delayed,1987.64,,-2.3,15/06/2022,2023/11/17,2022/12/07,,26.2,40,Robert Williams,2020/09/03,2024/03/09
80,Salt Lake City Stormwater System,WI,15,12,Completed,1856.09,2102.95,13.3,2020/11/30,09/30/2019,28/05/2025,01/22/2022,20.0,53,Robert Wilson,08-11-2018,2024/08/18
81,Seattle Water Main Upgrade,MO,7,7,Active,,TBD,25.9,01-19-2021,2023-07-09,02/09/2024,,39.2,10,James Anderson,15/02/2017,2023-01-16
82,Wyoming Electric Grid Hardening,WY,12,8,Completed,141.23,,18.0,20/01/2019,11/05/2023,2024/05/03,08/26/2024,,,Jennifer Brown,12/07/2020,03/28/2022
83,Port of Seattle Modernization,AL,13,3,Planning,2598.5,,,2018-09-03,,09-02-2022,,41.3,10,Patricia Anderson,2021/06/09,2022/08/08
84,New Jersey Broadband Expansion Phase 303,NJ,2,17,Completed,2274.97,2677.64,17.7,2023-09-04,,01/30/2024,02/08/2022,57.2,,Karen Davis,19/10/2018,2022/05/10
85,Denver Wastewater Treatment Plant,HI,12,19,Active,3015.09,2885.44,-4.3,05/04/2020,07/06/2023,11/24/2022,,48.1,41,James Wilson,2020/02/17,01/05/2024
86,Downtown Seattle Transit Hub,DE,11,14,Active,1686.84,1887.57,11.9,10/10/2019,,,,,23,Jennifer Anderson,,02/01/2024
87,Salt Lake City Wastewater Treatment Plant,CO,1,25,Under review,3888.91,3993.91,2.7,2018-06-04,03-01-2023,,16/11/2022,28.3,24,Karen Davis,23/04/2018,2023-06-09
88,Wyoming Interstate 56 Reconstruction,WY,4,24,Under review,173.44,211.6,22.0,09/05/2019,31/08/2021,20/08/2027,,61.9,10,James Moore,07-02-2019,05-03-2025
89,Boston Water Main Upgrade,RI,15,19,Active,1534.44,1603.49,4.5,11/12/2021,08-29-2024,,,66.2,,Jennifer Thomas,2021/08/10,2024/06/24
90,New Orleans Emergency Communications,MS,13,9,Completed,,771.72,29.9,2018-03-17,23/03/2022,15/07/2028,2025-09-20,51.6,17,Robert Johnson,05/08/2018,2023-02-16
91,Bridge 342 Structural Repairs,FL,4,?,On Hold,3126.57,2998.38,-4.1,2021/12/12,12/26/2021,2025/05/23,,34.2,33,David Johnson,07/05/2020,06/12/2023
92,Bridge 441 Structural Repairs,NC,5,,Under Review,4098.28,4192.54,2.3,05-02-2024,10/10/2019,07/24/2025,,24.1,35,Patricia Williams,01/13/2018,10-13-2023
93,Phoenix Stormwater System,IL,12,25,Cancelled,1969.07,,,2022/03/12,01-24-2020,05/07/2026,,49.5,9,Robert Davis,2018/04/09,2022/03/08
94,Route 112 Bridge Replacement,ME,15,23,On Hold,3473.53,3372.8,-2.9,10/03/2020,26/10/2023,2028/01/13,,43.7,48,James Anderson,05/03/2019,
95,Highway 93 Widening,UT,10,29,Active,2905.37,,40.4,11/03/2019,05/22/2019,2023-01-09,,26.8,29,William Wilson,06/24/2017,2024-12-08
96,Hawaii Interstate 510 Reconstruction,HI,13,9,Cancelled,2282.93,,,,2023/07/15,09-01-2024,,33.0,43,Lisa Taylor,2019/04/20,2024/06/23
97,I-96 Safety Improvements,VA,8,24,Completed,1356.19,1897.31,39.9,10-05-2018,10-17-2022,2028/03/04,05-13-2022,37.6,9,Maria Miller,11/06/2018,12/15/2024
98,South Dakota Interstate 25 Reconstruction,SD,5,7,On Hold,3346.38,4413.88,31.9,04/29/2020,08-26-2022,23/08/2026,,22.7,23,Thomas Davis,2017/01/24,17/02/2023
99,Route 307 Bridge Replacement,OR,15,24,Completed,2848.59,3498.07,22.8,2018-03-18,2020-05-03,06/23/2028,11-04-2025,39.9,51,Jennifer Williams,2017-11-02,2023-07-29
100,Nevada Broadband Expansion Phase 349,NV,15,N/A,Delayed,3076.39,3728.58,,09-02-2021,,02/07/2023,,69.3,34,William Brown,02/25/2018,2022-03-16
101,Bridge 212 Structural Repairs,CA,10,18,Completed,2307.56,2506.01,8.6,2021/03/06,06-09-2024,2024/09/29,,24.3,40,Jennifer Anderson,28/06/2019,04-14-2022
102,US-238 Resurfacing Project,RI,11,23,,604.06,844.48,39.8,2020-11-22,2022-01-28,2026/05/25,,31.0,43,Jennifer Wilson,2019-07-18,2024/09/25
103,Salt Lake City Airport Terminal Expansion,OK,13,14,Active,2783.14,2752.53,-1.1,2023/06/17,2019-04-14,08/22/2028,,55.8,21,Thomas Williams,08-11-2021,06-30-2024
104,I-597 Safety Improvements,OK,12,30,Planning,4142.98,,,2022/07/14,,06/07/2023,,71.2,4,Jennifer Anderson,04/19/2017,2022-01-02
105,Sacramento Stormwater System,ME,1,5,Under Review,356.04,452.53,27.1,08-31-2022,,,,75.8,40,Robert Taylor,2019/11/10,05-18-2024
106,Bridge 252 Structural Repairs,UT,9,3,On Hold,3115.21,4454.75,,11-16-2018,2024/01/18,02/07/2028,,38.7,4,Jennifer Anderson,,01/23/2022
107,Portland Wastewater Treatment Plant,AR,2,28,Completed,1156.27,1246.46,7.8,04/02/2019,12/17/2019,08-20-2028,,59.5,,Robert Miller,22/05/2021,2023/04/29
108,Massachusetts Electric Grid Hardening,MA,7,22,Active,3655.23,3494.4,-4.4,2023/01/13,2022/04/14,07/17/2025,,,,James Williams,,2023/12/26
109,I-743 Safety Improvements,OH,11,15,Active,811.34,780.51,-3.8,2019-01-12,08-21-2018,08-30-2028,,59.4,,Karen Williams,2020-12-21,09-03-2022
110,Miami Stormwater System,VA,8,3,Active,2711.21,2722.05,0.4,24/01/2024,2022/11/02,13/06/2024,,56.8,7,Lisa Miller,31/07/2017,13/03/2022
111,I-699 Safety Improvements,GA,10,18,Active,232.29,336.59,44.9,01/07/2019,02/05/2022,,,71.2,22,Maria Taylor,07/04/2021,2023-08-17
112,Denver Airport Terminal Expansion,FL,6,2,planning,,4352.67,28.4,2023/02/21,,2023-09-03,,64.5,15,Maria Johnson,15/02/2021,2022/10/17
113,Highway 608 Widening,KS,3,11,Active,,TBD,8.7,08-28-2022,20/11/2019,02/24/2026,,53.2,29,Sarah Thomas,2017/03/25,01/10/2022
114,Regional Rail Corridor 429,HI,2,21,Planning,990.07,,,2019-04-27,,12/12/2027,,78.6,40,Jennifer Anderson,,03/26/2023
115,Downtown Atlanta Transit Hub,TX,8,17,Active,1868.53,2316.98,24.0,09/13/2022,03/25/2020,08-27-2025,,33.8,,Jennifer Davis,20/07/2017,05/01/2023
116,Regional Rail Corridor 809,VT,6,8,Completed,4001.62,5614.27,40.3,,2020-07-29,2022/12/21,,71.4,32,Sarah Thomas,08/28/2019,2024-08-05
117,Highway 368 Widening,DE,12,14,Active,2720.27,N/A,-0.5,05-20-2023,06-02-2021,2023/10/25,,62.2,,Patricia Thomas,2017-02-19,07-20-2024
118,I-634 Safety Improvements,NY,2,13,Planning,1539.34,,,07/04/2024,,,,53.6,50,Sarah Brown,2018/11/17,04/05/2023
119,Miami Water Main Upgrade,HI,6,26,Delayed,367.15,420.39,14.5,2020-01-03,,2022/11/12,,26.6,18,Maria Brown,2019/10/14,05/11/2022
120,Utah Broadband Expansion Phase 176,UT,5,19,Completed,952.87,1082.46,13.6,03/26/2021,2018-07-13,08-31-2023,25/12/2023,37.1,11,Karen Brown,28/12/2020,01/01/2025
121,Pittsburgh Emergency Communications,CO,3,1,completed ,1241.69,1735.88,39.8,,04/05/2024,2026-12-16,25/11/2023,61.3,47,Lisa Johnson,10-13-2017,02/02/2025
122,Alabama Interstate 354 Reconstruction,AL,7,12,Active,4105.61,5694.48,38.7,25/12/2018,02/06/2020,12-25-2026,,64.5,27,Lisa Miller,02/12/2017,18/05/2024
123,Regional Rail Corridor 506,FL,14,27,Completed,1946.77,1874.74,-3.7,01-11-2018,23/09/2019,2024-12-11,2023/09/07,,41,Lisa Williams,01/09/2020,08/13/2023
124,Nashville Wastewater Treatment Plant,SC,3,2,Completed,4011.68,3907.38,-2.6,,12-10-2023,11/11/2022,11/18/2024,31.6,41,Robert Williams,2020/05/11,2022/12/09
125,Downtown Sacramento Transit Hub,KS,12,18,Delayed,490.02,497.86,1.6,2018-03-13,2023-05-19,,,38.7,24,Robert Taylor,2021-12-28,05-08-2025
126,Florida Interstate 802 Reconstruction,FL,2,10,Active,2527.73,3144.5,24.4,03/30/2020,2020/01/27,,,21.8,10,Patricia Miller,04/02/2020,2023-12-14
127,Virginia Electric Grid Hardening,VA,14,12,delayed,1712.12,2278.83,33.1,11/07/2021,2019-05-22,24/03/2027,,-,9,Lisa Wilson,2020-12-14,14/08/2023
128,Downtown Seattle Transit Hub,KY,12,19,Active,836.56,878.39,5.0,2022-07-14,18/05/2019,08/11/2024,,70.3,TBD,Lisa Miller,04-16-2021,2025/04/06
129,Pittsburgh Water Main Upgrade,HI,2,25,On Hold,1957.56,,9.7,08/02/2023,07/02/2023,30/08/2027,,35.7,22,Thomas Anderson,06/02/2017,03/06/2022
130,New Orleans Wastewater Treatment Plant,AR,1,13,,2591.34,2917.85,12.6,2021/03/11,2021-08-05,2022-09-09,,,3,Robert Wilson,2018/12/16,10/04/2025
131,Austin Stormwater System,MO,1,23,Active,1639.57,2026.51,,24/06/2023,2019/02/14,2024-04-23,,40.2,33,William Wilson,08/12/2017,2023-09-06
132,Bridge 444 Structural Repairs,ME,14,10,Completed,1316.43,1523.11,15.7,2020-10-26,10-12-2023,01/31/2027,10-07-2025,65.8,12,James Anderson,02/11/2021,01-18-2023
133,Port of Baltimore Modernization,ME,3,9,Cancelled,806.45,N/A,7.3,,03-17-2023,2027-06-12,,53.6,28,Michael Johnson,2018-02-18,2022/11/23
134,New Orleans Wastewater Treatment Plant,WY,15,17,Planning,2519.45,,,07/07/2021,,09/10/2025,,69.9,,Michael Davis,2019/05/17,
135,Route 260 Bridge Replacement,AK,11,26,Completed,1299.27,1856.66,42.9,,15/05/2019,31/12/2027,04-30-2023,71.5,25,James Moore,2018/06/08,
136,Charlotte Emergency Communications,OR,10,24,Completed,3200.42,4067.73,27.1,01/23/2020,2022/12/22,07-12-2023,07/01/2022,44.0,41,David Wilson,2020-03-25,2022/06/18
137,Port of Atlanta Modernization,ME,10,21,TBD,1099.86,1513.41,37.6,07-23-2018,01/07/2022,12/06/2028,,45.7,17,Robert Williams,01/24/2019,
138,US-379 Resurfacing Project,IN,4,20,Completed,2718.57,2699.54,-0.7,2023-04-05,,17/08/2025,20/11/2025,43.9,14,Patricia Moore,12/21/2020,05-16-2024
139,Pittsburgh Airport Terminal Expansion,UT,3,3,Active,491.18,477.43,-2.8,2019-06-08,2023-08-07,02/24/2025,,64.9,28,David Miller,2020/06/09,25/06/2023
140,Georgia Broadband Expansion Phase 358,GA,14,,Planning,3646.39,,,01-10-2020,,21/11/2023,,65.0,-,David Thomas,30/12/2021,04-14-2025
141,Denver Airport Terminal Expansion,WV,11,1,Completed,1903.3,TBD,42.4,05/20/2024,14/06/2019,05-15-2024,2022/04/10,68.1,19,Jennifer Johnson,04/03/2021,2022/05/25
142,Nashville School District Renovation,WV,7,3,Active,2649.07,2638.47,-0.4,10-04-2023,2021/10/31,,,60.6,,William Brown,2019/10/12,12-15-2024
143,Bridge 117 Structural Repairs,IN,10,3,Completed,1944.36,2611.28,34.3,29/05/2022,2018-07-05,2022-12-08,02/05/2024,72.6,20,Jennifer Thomas,01-22-2021,2024/07/20
144,Alabama Electric Grid Hardening,AL,12,22,Active,,59.12,0.6,07/03/2018,02/10/2020,20/04/2022,,,42,Robert Davis,12/06/2019,2025/01/08
145,Route 410 Bridge Replacement,ND,9,10,On Hold,2482.57,3118.11,25.6,22/06/2023,08/07/2020,09-06-2022,,51.7,28,Karen Wilson,08/02/2020,05-11-2022
146,Miami Flood Control Project,NV,13,28,planning,362.46,431.69,19.1,12/11/2019,03/28/2020,10-03-2023,2025-05-25,49.5,51,Michael Taylor,2018/09/14,2023-04-26
147,Downtown Boston Transit Hub,CT,13,15,Completed,3285.17,4678.08,42.4,2024-04-22,21/06/2018,2027/09/09,08-04-2022,30.0,8,Sarah Wilson,2017/11/18,08/22/2023
148,Sacramento School District Renovation,NC,13,14,On Hold,TBD,4822.41,34.7,2022/01/21,02/05/2018,2026/12/18,,28.7,1,Patricia Anderson,2017/05/23,23/06/2022
149,Kansas City Emergency Communications,CT,11,7,TBD,?,4344.06,27.4,2020-03-19,05-20-2021,2022/12/12,,,22,Michael Brown,2019-12-02,01/12/2025
150,Detroit Emergency Communications,AK,10,19,Active,2801.24,,35.8,07-28-2019,27/03/2022,2027/10/30,,64.3,7,Jennifer Anderson,07/04/2020,30/01/2023
151,New Jersey Broadband Expansion Phase 729,NJ,3,17,Under review,4065.75,4907.36,20.7,,2019/04/29,05-20-2024,,47.3,3,Patricia Brown,2020-02-19,2024/01/27
152,Baltimore Airport Terminal Expansion,WI,10,15,Cancelled,3501.55,,,2019-06-28,2019-07-22,08-30-2027,,58.2,49,Lisa Taylor,2017-11-02,2023/10/29
153,Bridge 124 Structural Repairs,WA,13,16,Completed,,3196.91,43.1,2021-01-31,2020/04/22,10/01/2024,2025-12-16,70.3,38,Lisa Williams,07/11/2021,
154,Downtown Charlotte Transit Hub,NY,5,13,Active,1362.05,1550.01,13.8,2019/05/11,08/01/2018,04/09/2024,,34.4,39,Karen Davis,10-07-2019,11/07/2024
155,Kansas City Emergency Communications,TN,9,14,Planning,1951.81,,,2021/03/30,,11/17/2023,,20.0,31,David Thomas,29/05/2018,02-18-2024
156,Austin Airport Terminal Expansion,MN,4,15,Completed,,2582.19,-4.9,2023/05/06,01/18/2018,2022-02-09,10-09-2025,30.4,n/a,Patricia Taylor,04-11-2021,2024/03/15
157,Port of Detroit Modernization,NH,5,26,Delayed,155.02,185.4,19.6,2020/05/06,2018/01/30,03-14-2024,,79.1,41,Michael Williams,2021/11/17,2023-07-23
